ticker,label,risk_tag,momentum_score,conviction_score,core_score,mention_count,unique_authors,engagement
JLHL,TRADE,,100.0,87.68558142895607,100.0,32,8,25.136748570331783
PBM,IGNORE,,99.49760606938911,68.04813894146281,99.49760606938911,27,5,20.16693527075578
SUGP,IGNORE,,94.06719144273163,50.52205065978064,94.06719144273163,21,1,17.682028620967785
UNG,TRADE,,88.95367366358921,91.23131105972422,88.9536736635892,25,12,17.759218259658912
ATOS,WATCH,,79.65792613949036,67.607811599345,79.65792613949036,12,10,14.62175782627622
